date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:24:01	129590/129590	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221da1ba055435236%22	https://www.growsmart.co.in/ThePrudentTheme/vendor/fontawesome-free/webfonts/fa-brands-400.eot	C:/My%20Web%20Sites/Website%20copy/www.growsmart.co.in/ThePrudentTheme/vendor/fontawesome-free/webfonts/fa-brands-400.eot	(from https://www.growsmart.co.in/ThePrudentTheme/vendor/fontawesome-free/css/all.min.css)
10:24:03	129590/129590	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221da1ba055435236%22	https://www.growsmart.co.in/ThePrudentTheme/vendor/fontawesome-free/webfonts/fa-brands-400.eot?	C:/My%20Web%20Sites/Website%20copy/www.growsmart.co.in/ThePrudentTheme/vendor/fontawesome-free/webfonts/fa-brands-400d41d.eot	(from https://www.growsmart.co.in/ThePrudentTheme/vendor/fontawesome-free/css/all.min.css)
10:24:04	74524/74524	---M--	200	added ('OK')	font/woff2	etag:%221da1ba055438b1c%22	https://www.growsmart.co.in/ThePrudentTheme/vendor/fontawesome-free/webfonts/fa-brands-400.woff2	C:/My%20Web%20Sites/Website%20copy/www.growsmart.co.in/ThePrudentTheme/vendor/fontawesome-free/webfonts/fa-brands-400.woff2	(from https://www.growsmart.co.in/ThePrudentTheme/vendor/fontawesome-free/css/all.min.css)
10:24:06	87520/87520	---M--	200	added ('OK')	application/font-woff	etag:%221da1ba05543fde0%22	https://www.growsmart.co.in/ThePrudentTheme/vendor/fontawesome-free/webfonts/fa-brands-400.woff	C:/My%20Web%20Sites/Website%20copy/www.growsmart.co.in/ThePrudentTheme/vendor/fontawesome-free/webfonts/fa-brands-400.woff	(from https://www.growsmart.co.in/ThePrudentTheme/vendor/fontawesome-free/css/all.min.css)
10:24:08	129284/129284	---M--	200	added ('OK')	application/x-font-ttf	etag:%221da1ba055435104%22	https://www.growsmart.co.in/ThePrudentTheme/vendor/fontawesome-free/webfonts/fa-brands-400.ttf	C:/My%20Web%20Sites/Website%20copy/www.growsmart.co.in/ThePrudentTheme/vendor/fontawesome-free/webfonts/fa-brands-400.ttf	(from https://www.growsmart.co.in/ThePrudentTheme/vendor/fontawesome-free/css/all.min.css)
10:24:10	691037/691037	---M--	200	added ('OK')	image/svg+xml	etag:%221da1ba05548235d%22	https://www.growsmart.co.in/ThePrudentTheme/vendor/fontawesome-free/webfonts/fa-brands-400.svg	C:/My%20Web%20Sites/Website%20copy/www.growsmart.co.in/ThePrudentTheme/vendor/fontawesome-free/webfonts/fa-brands-400.svg	(from https://www.growsmart.co.in/ThePrudentTheme/vendor/fontawesome-free/css/all.min.css)
10:24:11	34394/34394	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221da1ba055422e5a%22	https://www.growsmart.co.in/ThePrudentTheme/vendor/fontawesome-free/webfonts/fa-regular-400.eot	C:/My%20Web%20Sites/Website%20copy/www.growsmart.co.in/ThePrudentTheme/vendor/fontawesome-free/webfonts/fa-regular-400.eot	(from https://www.growsmart.co.in/ThePrudentTheme/vendor/fontawesome-free/css/all.min.css)
10:24:12	34394/34394	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221da1ba055422e5a%22	https://www.growsmart.co.in/ThePrudentTheme/vendor/fontawesome-free/webfonts/fa-regular-400.eot?	C:/My%20Web%20Sites/Website%20copy/www.growsmart.co.in/ThePrudentTheme/vendor/fontawesome-free/webfonts/fa-regular-400d41d.eot	(from https://www.growsmart.co.in/ThePrudentTheme/vendor/fontawesome-free/css/all.min.css)
10:24:13	13584/13584	---M--	200	added ('OK')	font/woff2	etag:%221da1ba055429d10%22	https://www.growsmart.co.in/ThePrudentTheme/vendor/fontawesome-free/webfonts/fa-regular-400.woff2	C:/My%20Web%20Sites/Website%20copy/www.growsmart.co.in/ThePrudentTheme/vendor/fontawesome-free/webfonts/fa-regular-400.woff2	(from https://www.growsmart.co.in/ThePrudentTheme/vendor/fontawesome-free/css/all.min.css)
10:24:15	16804/16804	---M--	200	added ('OK')	application/font-woff	etag:%221da1ba05542e9a4%22	https://www.growsmart.co.in/ThePrudentTheme/vendor/fontawesome-free/webfonts/fa-regular-400.woff	C:/My%20Web%20Sites/Website%20copy/www.growsmart.co.in/ThePrudentTheme/vendor/fontawesome-free/webfonts/fa-regular-400.woff	(from https://www.growsmart.co.in/ThePrudentTheme/vendor/fontawesome-free/css/all.min.css)
